Designator,Mid X,Mid Y,Rotation,Layer
SW64,275.394,-120.4265,0.0,top
SW65,304.554,-72.8265,0.0,top
SW66,284.914,-101.3865,0.0,top
SW67,294.434,-120.4265,0.0,top
SW68,280.154,-139.4665,0.0,top
SW69,306.339,-158.5065,0.0,top
SW7,58.827125,-177.549,0.0,top
SW70,296.814,-177.5465,0.0,top
SW71,323.594,-72.8265,0.0,top
SW72,313.479,-101.3865,0.0,top
SW73,318.234,-120.4265,0.0,top
SW74,311.099,-139.4665,0.0,top
SW75,320.614,-177.5465,0.0,top
SW76,347.0965,-101.3865,0.0,top
SW77,347.0915,-120.4265,0.0,top
SW78,346.797,-177.5465,0.0,top
SW79,366.1365,-101.3865,0.0,top
SW8,94.545875,-72.774,0.0,top
SW80,366.1365,-120.4265,0.0,top
SW81,365.839,-158.5065,0.0,top
SW82,365.839,-177.5465,0.0,top
SW83,385.1715,-101.3865,0.0,top
SW84,385.1765,-120.4265,0.0,top
SW85,384.879,-177.5465,0.0,top
SW86,385.946,-70.3975,0.0,top
SW9,75.495875,-101.349,0.0,top
U2,357.1,-76.902,0.0,top
